"","name","date","comment","score"
"1","마당쇠","2021년 3월 17일"," 좋아요",5
"2","유현자","2021년 3월 17일"," 좋아요",5
"3","염재훈","2021년 3월 17일"," 좋은거 같네요",5
"4","S M","2021년 3월 17일"," 알림이 안 옴. 언제 고쳐주나요?????????????",1
"5","이순호","2021년 3월 17일"," 깔끔한 디자인에 쉽게 사용할 수 있어 맘에 듭니다!",5
"6","한대희","2021년 3월 17일"," 어제까지 잘사용하던앱이 오늘갑자기 안되네요 네트워크 설정하라는데 이미 엘티이 켜져있는상태인데도 될생각을 안하네요",3
"7","이수지","2021년 3월 17일"," 친절함",5
"8","강하늘","2021년 3월 17일"," 기업은행 원뱅크 편리편리",5
"9","김광성","2021년 3월 17일"," 굳입니다^^",5
"10","조인호","2021년 3월 17일"," 인터페이스 갠차나요",5
"11","뽀삐신","2021년 3월 17일"," 좋아요",5
"12","po wer","2021년 3월 17일"," 나아졋지전보던",4
"13","최재용","2021년 3월 17일"," 입출금 할때 알림이안오네요 직접들어가서 확인해야되네요",1
"14","최태수","2021년 3월 16일"," 좋아여",4
"15","서미옥","2021년 3월 16일"," 참 편리합니다.",5
"16","강정우","2021년 3월 16일"," 인생을 넘어 빅뱅 이후 최악의 금융서비스. 걍 존재하지 마 제발.",1
"17","쿠쿠루삥뽕","2021년 3월 16일"," 인증번호도 안오고 재인증해도 안됨",1
"18","김주영","2021년 3월 16일"," 아니 왜자꾸 본인인증한다음에 계좌를만들라는거에요 도대체!! 계좌가 이미 있는데!!!!!!! 계좌개설말고 로그인하게해달라구요",1
"19","김정훈","2021년 3월 16일"," 최고예욥",5
"20","최센스","2021년 3월 16일"," 편한 앱....이거없으면 귀찮아서 못살지.",5
"21","양승권","2021년 3월 15일"," 아니 처음깔아서 하는데 신분증 촬영을 10번을 다시해도 인식을 못할꺼면 왜하는거에요? 빛반사 안되게 바탕 검은색 다 맞춰서 하고 해도 무슨 장난하는것도 아니고",1
"22","Jongsook Kim","2021년 3월 15일"," 매우좋아요",4
"23","김명자","2021년 3월 15일"," 간편하게 이용 할 수 있어서 편하고 좋아요",5
"24","김선오","2021년 3월 15일"," 어플 차암 잘 만드셨네요",1
"25","황소","2021년 3월 15일"," 네트워크 연결이 안된다면서 실행이안되는데 무슨 문제인가요",1
"26","강태산","2021년 3월 15일"," 송금 편리",4
"27","메르","2021년 3월 15일"," 왜 앱이 안 열릴까요",1
"28","고구마마스터","2021년 3월 15일"," 아짜증나요 앱 이용하고 시간지나서 자동로그아웃되었다는 팝업 후에 다시 패턴로그인 하려고 하면 패턴 틀렸다고 나와요 그러면 앱 강제종료시키고 다시 해야돼요 매우불편... 개선되겠지 했는데 6개월? 1년넘게 같은문제 발생",1
"29","슈퍼드래곤TV","2021년 3월 15일"," 간편하고 편리하게 사용할 수 있어 좋아요",5
"30","최민규","2021년 3월 15일"," 좋아요",5
"31","이미경","2021년 3월 15일"," 좋아요",5
"32","망나뇽","2021년 3월 15일"," 좋아요",5
"33","잭키","2021년 3월 15일"," 아~이 톡톡송금은 왜 계속뜨는 거에요? 다른 업무를 할 수가 없네요. X눌러서 창을 닫았는데도, 계속 3초마다 내려오는데 이거 어케해야 하나요? [해결] 설정-톡톡모션-톡톡모션이용을 사용안함으로 하니, 톡톡모션 가입창이 안내려오네요. 테스트 해 보세요.",1
"34","최기수","2021년 3월 15일"," 아..미치겠네..!!!! 앱이 왜 안되는겁니까?? 삭제했다가 다시 깔기를 몇번을 한건지!!!! 아악!!!!!!!!!!!! 이체하러 은행가야 하나?????",1
"35","박명숙","2021년 3월 15일"," 앱이 안열리는건 어떤 문제일까요? 두번이나 새로 깔았는데 안열리네요",1
"36","하광수","2021년 3월 15일"," 사용하기 너무 편하고 좋아요.",5
"37","햄스터","2021년 3월 15일"," 굿",5
"38","박미라","2021년 3월 15일"," 쓰기편함",5
"39","최야베스","2021년 3월 14일"," 좋아요",5
"40","조형","2021년 3월 14일"," 편리해서 좋아요",5
"41","신정근","2021년 3월 14일"," 편리합니다",4
"42","박예찬","2021년 3월 14일"," 굿!",4
"43","손재호","2021년 3월 14일"," 좋아요",5
"44","손덕훈","2021년 3월 13일"," good",5
"45","한재민","2021년 3월 13일"," 간편해서 이용하기 쉽다",5
"46","보물단지","2021년 3월 13일"," 왜 자꾸 네트워크에 연결되지 않았다고 할가요? 다른 앱은 다 너무 잘 쓰고 있는데..!!",1
"47","sunja Kim","2021년 3월 13일"," 좋아요",4
"48","최기표","2021년 3월 13일"," 좋아요",5
"49","이종권","2021년 3월 13일"," 항상 편하게 이용하구있습니다",5
"50","더울땐쭈쭈바","2021년 3월 12일"," 빠르고 좋아유~",5
"51","장남위","2021년 3월 12일"," 굿",5
"52","전재영","2021년 3월 12일"," 굳",5
"53","hj lim","2021년 3월 12일"," 잘쓰고있었는데 왜갑자기 네트워크 연결이 안됐대요. 와파 빵빵하구만 ㅠ",3
"54","김선화","2021년 3월 12일"," 빠르고 편리해서 좋아요",5
"55","Ilnam Seo","2021년 3월 12일"," 기업은행 하.. 폰을 분실해서 다른 폰을 어플을 옴기는대 기업은행만 못했네요. 인증을 하라는대 인증방법 3가지 1. 전화인증= 알뜰폰 사용하는대 알뜰폰은 인증 안된다네요(다른 은행은 다 했는대 기업만 안됨) 뭐 이딴 은행이 다있는지 2. 공인인증 = 기업은행 몇칠전에 새로받은 은행인증서로 인증. 잘못된 인증서라고 인증이 안됨(기업은행은 예전부터 인증서 오류도 상당히 심감함)다시 받을래도 인증이 안되서 앱을 사용못함 고객센터 문의하니 미니앱을 깔면 인증없이 할수있다고함 그래서 미니에 접속하니 인증서 재발급 받으려면 전화인증 하라고함?...전체 리뷰기업은행 하.. 폰을 분실해서 다른 폰을 어플을 옴기는대 기업은행만 못했네요. 인증을 하라는대 인증방법 3가지 1. 전화인증= 알뜰폰 사용하는대 알뜰폰은 인증 안된다네요(다른 은행은 다 했는대 기업만 안됨) 뭐 이딴 은행이 다있는지 2. 공인인증 = 기업은행 몇칠전에 새로받은 은행인증서로 인증. 잘못된 인증서라고 인증이 안됨(기업은행은 예전부터 인증서 오류도 상당히 심감함)다시 받을래도 인증이 안되서 앱을 사용못함 고객센터 문의하니 미니앱을 깔면 인증없이 할수있다고함 그래서 미니에 접속하니 인증서 재발급 받으려면 전화인증 하라고함?? 장난하냐 3. 이건 아예 안되는거라고함 그래서 다시 고객센터에 문의하니 영업점에 가는거 이외에는 방법이 없대요 알뜰폰이라고 폰인증을 막아 놓을꺼면 다른인증이라도 제대로 해놓던가 은행이 기업만 있는것도 아니고 요즘같은 시대에 이딴일로 영업점을 가라니 그럼 영업점이나 많이 만들던가 왔다갔다 4시간 거리를 동내 슈퍼가는줄 아냐? 다시는 기업안쓴다",1
"56","김호석","2021년 3월 12일"," 오늘도 행복 하세요 ㅎㅎ",5
"57","피닉스","2021년 3월 12일"," 너무좋아요",5
"58","박건주","2021년 3월 12일"," 은행전세대출 신청 후 배우자 동의 시 에러 현상 (""가족을 확인하세요."", ""신청된 대출이 없습니다."") 위와 같은 메세지가 나옵니다. 기업은행 창구에서 직접 문의 하였고 혼인 관계증명서류 및 신분증 대조하여 은행직원과 같이 재시도 하여도 같은 상황.. 4시간 동안 지금 까지 계속 시스템 문제 해결이 진행안됨.빠른 조치 부탁드립니다..",1
"59","강경민","2021년 3월 12일"," 좋아요.",5
"60","고옌둥","2021년 3월 11일"," 좋아요",5
"61","박의재","2021년 3월 11일"," 업뎃하고서 왜케 접속이안됩니까??.",3
"62","권성","2021년 3월 11일"," 아주 좋아요",5
"63","오른손","2021년 3월 11일"," 스마트뱅킹건으로 다운로드받았는데 PIC003오류뜨면서 안됩니다. 통신사 보안인증이 안되었다는 이유로요. 여태 본인인증 잘했는데 말이죠.",1
"64","김춘희","2021년 3월 11일"," 간펀하고좋아요",4
"65","이경훈","2021년 3월 11일"," 만족합니다",5
"66","최길환","2021년 3월 11일"," 언제 어느곳에서든 i-one bank 편리하게 이용하고 있어요",5
"67","이만호","2021년 3월 11일"," 좋습니다 간편하고 빠르고",5
"68","통장잔고714원","2021년 3월 11일"," 좋아요",5
"69","Kyeong Hoon Kim","2021년 3월 11일"," 기업 앱 늘상 아낌없이 잘 사용하고 있습니다.",5
"70","lina sage","2021년 3월 11일"," 본인등록시 공인인증서가 타기관일경우 신분증 확인으로 진행해야 하는데 아무런 설명이나 안내가 안되어있어 불편",4
"71","박노중is there","2021년 3월 11일"," 매우 신속한 송금이 좋아요",5
"72","김진호","2021년 3월 10일"," Good",5
"73","홍근우","2021년 3월 10일"," 로그인도 안되고 무한로딩 입니다 저만 그런게 아닌거 같은데 빨리 조치 해주세요",1
"74","박승옥","2021년 3월 10일"," 편함",4
"75","Lutress K.","2021년 3월 10일"," 이전에 비해서는 매우 깔쌈해짐. 무엇보다도 그 할배 이미지 뺀것만으로도 어플 이미지가 틀딱에서 벗어남",5
"76","sungduk jang","2021년 3월 10일"," 직관적이고 쉬운 사용",5
"77","신만기","2021년 3월 10일"," 잘쓰고있어요",5
"78","이동섭","2021년 3월 10일"," 굿",5
"79","돌머리","2021년 3월 10일"," 편리하고좋아요",5
"80","se p","2021년 3월 10일"," 편리합니다.",4
"81","차혜정","2021년 3월 10일"," 아주 편리합니다.",5
"82","이경수","2021년 3월 10일"," 좋와요..^^",5
"83","윤대영","2021년 3월 10일"," 굿",5
"84","이우림","2021년 3월 10일"," 카뱅이랑 거의 비슷해짐",5
"85","love taiji","2021년 3월 10일"," 빠르고 간편하고 좋네요",5
"86","김장주","2021년 3월 10일"," 좋아용",5
"87","유승호","2021년 3월 10일"," 굿",5
"88","Jonghun lee","2021년 3월 10일"," 너무좋와요",4
"89","심재웅","2021년 3월 10일"," 좋음",3
"90","상팔이킴","2021년 3월 9일"," 좋은 앱임이 틀림없다 이체 편해 관리 편해 이지이지함",5
"91","서현일","2021년 3월 9일"," 은행업무 사용에 편리하고 좋아요^^",3
"92","여영숙","2021년 3월 9일"," 편하고 좋아요",5
"93","은진윤","2021년 3월 9일"," 바이오인증에서 지문등록 목록이 안나오는데 왜그러는걸까요? 최신버전입니다.",3
"94","임종국","2021년 3월 9일"," 편리해요",5
"95","윤선준","2021년 3월 9일"," 인증도 간편하고 좋아요",5
"96","조영슬","2021년 3월 9일"," 눈에 잘 뜬다",5
"97","하혜진","2021년 3월 9일"," 며칠째 대기중만 뜨고 어플이 안깔려요",1
"98","장영환","2021년 3월 9일"," 공개",5
"99","최경묵","2021년 3월 9일"," 사용하기 편리합니다",5
"100","Cara Jeon","2021년 3월 9일"," 잘 사용하고 있어요 메뉴들이 사용하기 간편하고 좋습니다",5
"101","민근","2021년 3월 9일"," 깔끔",5
"102","love Sonny","2021년 3월 8일"," 앱 접속했는데 로딩이 너무 오래걸리고 앱 실행이 안되요 이거 문제 해결해 주세요",2
"103","유애리","2021년 3월 8일"," 빠르네요",5
"104","뻑뽁이","2021년 3월 8일"," 오늘 인터넷 점검이 있는건지요??.. 접속장애가 계속 뜨는데..업데이트듀 하라고 해서 다했지만..안들어가지네요. 정확한 정보를 주셨으면 합니다.",2
"105","강봉순","2021년 3월 8일"," 이용하기가 굿입니다",5
"106","kt cho","2021년 3월 8일"," 맨날 업데이트만 하면 바로 업데이트가 안되고 지우고 새로 설치해야 하네요 급하게 처리해야 하는데 사용 등록하고 짜증나네요",1
"107","독고다이","2021년 3월 8일"," 편리해요",5
"108","tp이실장","2021년 3월 8일"," 굿굿굿",5
"109","최지연","2021년 3월 8일"," 사용하기편리합니다",5
"110","한덕구","2021년 3월 8일"," 이거 왜 접속 안되나요 계속..",5
"111","송영범","2021년 3월 8일"," 최고에 어플입니다",5
"112","서승석","2021년 3월 7일"," 편해요",5
"113","이건호","2021년 3월 7일"," 편하고 좋아요~",5
"114","백재우","2021년 3월 7일"," ui 간단한편이라 좋아요",5
"115","김시운","2021년 3월 7일"," 굿",5
"116","DONGHEE HAN","2021년 3월 7일"," 편리함과 안정성 간결함 까지 최고의 어플 추천",5
"117","배현옥","2021년 3월 7일"," 수수료도없고 조아요^^",5
"118","ddong og","2021년 3월 7일"," 편리하고 정확하고 좋네요",5
"119","최찬석","2021년 3월 7일"," 좋아요",4
"120","장민지","2021년 3월 6일"," 사용하기 편리해서 좋아요~^^",5
"121","함정자","2021년 3월 6일"," 편리한 사용법이 좋아요",5
"122","유효근","2021년 3월 6일"," good",5
"123","sooho wean","2021년 3월 6일"," 항상 애용합니다 ㅎ",5
"124","한보영","2021년 3월 6일"," 카드관리 때문에 다운 받았는데 본인인증하고 나니까 뜬금없이 단기 다계좌 개설자는 계좌개설이 안 된다는 오류가 뜨면서 진행이 안 되네요. 계좌 개설할 생각 전혀 없는데 뭔 어플을 이런식으로 만들어놨는지 어이가 없네요. 빠른 개선 바랍니다.",1
"125","안창엽","2021년 3월 6일"," 어제5일 오늘6일 계속 네트워크 접속이 원활하지 않다고 뜨는데 왜이런가요? 다른 은행앱은 잘 되는데말이죠, 인터넷뱅킹 사용이 함드네요~조치좀 바랍니다 연이틀 아주 불편해요~",2
