"","name","date","comment","score"
"1","±èÀÇ¿¬","2021³â 3¿ù 17ÀÏ"," Ç×»ó Àß ¾²°í ÀÖ½À´Ï´Ù Çã³ª ¸î ÀÏ ÀüºÎÅÍ ÀÔÃâ±Ý ¾Ë¸²ÀÌ ¿ÀÁö ¾Ê´Â µ¥ ÀÌÀ¯°¡ ¹º°¡¿ä È¤½Ã ¹«·á ¾Ë¸²ÀÌ ¾ø¾îÁø °Ç°¡¿ä?",3
"2","½î¹Össomin","2021³â 3¿ù 17ÀÏ"," ¾Èµé¾î°¡Á®¿ä.... ¤Ñ¤Ñ",1
"3","¼öÀÚ","2021³â 3¿ù 17ÀÏ"," ³×Æ®¿öÅ© Åë½ÅÁß ¿À·ù¹ß»ýÇß´Ù°í ¶ß¸é¼­ ¸çÄ¥Â° Á¢¼Ó¾ÈµÊ¤Ñ¤Ñ CODE:FAI ¶ó°í ¶ß´Âµ¥ ¾î¶»°ÔÇØ¾ßµÇ¿ä",1
"4","±è±¤Çö","2021³â 3¿ù 17ÀÏ"," ºü¸£°í ÆíÇÕ´Ï´Ù",5
"5","±è¿¬½Å","2021³â 3¿ù 17ÀÏ"," ÁÁ¾Æ¿ä",5
"6","°¨ºýÀÌ¼öÀ¯¸®","2021³â 3¿ù 17ÀÏ"," ¾îÇÃ ¿Ö¾ÈµÉ±î¿ä?.. ±ò°í´Ù½Ã±ò°í´Ù½Ã±ò°íÇØµµ µé¾î°¡ÁöÁú¾Ê´Âµ¥",1
"7","Á¶±º","2021³â 3¿ù 17ÀÏ"," ¸ð¹ÙÀÏ otp¹øÈ£ ´Ù ¸·ÇôÀÖÀ½ ¾î¶² ¹øÈ£¸¦ ÀÔ·ÂÇØµµ ºñ¹Ð¹øÈ£¸¦ ¸¸µé¼ö ¾ø´Ù°í ³ª¿È ÀÌ·¸°Ô³ª ºÒÆíÇÒºÒ ¸ô¶úÀ½",1
"8","Zzan","2021³â 3¿ù 17ÀÏ"," ½ò º¸°í Á» ¹è¿ö¶ó °èÁÂ¸¸µé°í °¡ÀÔÇÏ·¯ µå°¡´Ï±î °èÁÂÀÎÁõ ÇÏ¶ó°íÇÏ°í °èÁÂ¹øÈ£ È®ÀÎÇÒ¶ó´Ï±î ·Î±×ÀÎÇÏ¶ó°íÇÏ°í ·Î±×ÀÎÇÒ¶ó°í °¡ÀÔÇÒ¶ó´Ï °èÁÂÀÎÁõÇÏ¶ó°íÇÏ°í ¸· °¡ÀÔÇÑ»ç¶÷Àº ¾îµð¼­ °èÁÂ¹øÈ£ È®ÀÎÇÏ´Ï",1
"9","kdj kang","2021³â 3¿ù 17ÀÏ"," ½º¸¶Æ®¹ðÅ· ÀÌ¿ëÀÌ µÇ´Ù°¡ ¾ÊµÇ´õ¶ó±¸¿ä Áö³­¹ø¿¡ ÀÎÅÍ³Ý¹ðÅ· ÀÎÁõ¼­ ½º¸¶Æ®Æù ³»º¸³»±â ÇØ¼­ ÀÌ¿ëÇÏ°í ±×ÀÌÈÄºÎÅÍ ÀÎÁõ¼­°¡ ¾ø´Ù°í ³ª¿À´õ¶ó±¸¿ä",2
"10","¹ÚÇöÁ¤","2021³â 3¿ù 17ÀÏ"," À¢¸¸ÇÏ¸é ¸®ºä´Â ¾È¾²´Âµ¥ ¾îÇÃ ½ÇÇà ÀÚÃ¼°¡ ¾ÈµÅ¿ä Áö¿ì°í ´Ù½Ã ±ò¾Æµµ ¶È°°°í;;",1
"11","Àå±â¿µ","2021³â 3¿ù 17ÀÏ"," °©ÀÚ±â ·Î±×ÀÎÀÌ ¾È µÇ³×¿ä. °¡°Ô °áÁ®ÅëÀåÀÎµ¥ °è¼Ó ³×Æ®¿öÅ© ¹®Á¦¶ó°í ¶ß°í ¾î¶»°Ô ÇØ¾ß ÇÏ³ª¿ä? °áÁ¦µµ ¸ø ÇÏ°í ÀÏÀ» ¸ø ÇÏ³×¿ä",2
"12","³ª³ª´Ù","2021³â 3¿ù 17ÀÏ"," ¾Æ.... ·Î±×ÀÎÃ¢¿¡¼­ ºù±Ûºù±Û µ¹±â¸¸ÇÏ°í ¿Ö ¾Èµé¾î°¡Áö³ª¿ä. Áö¿ì°í ´Ù½ÃÇØµµ ¶È°°°í ÁøÂ¥ µ¹°Ú³×¿ä.",1
"13","seongju Roh","2021³â 3¿ù 17ÀÏ"," ³×Æ®¿öÅ© Åë½ÅÁß ¿À·ù°¡ ¹ß»ýÇß´Ù°í ¶ß¸ç Á¢¼ÓÀÌ ¾ÈµË´Ï´Ù. ºñÇà±â¸ðµå, LTE, ¿ÍÀÌÆÄÀÌ µî ²¯´ÙÅ°´Â µîÀÇ Á¶Ä¡¸¦ ÃëÇØµµ ¾ÛÀÌ ¸ÔÅëÀÌ³×¿ä. ¹æ¹ý¾ø³ª¿ä?",3
